('OA', '27/12/18', '07:23:33')
('OA', '27/12/18', '07:23:33')
('OA', '27/12/18', '07:23:34')
('OA', '27/12/18', '07:23:34')
('OA', '27/12/18', '07:23:35')
('OA', '27/12/18', '07:23:35')
('OA', '27/12/18', '07:23:36')
('OA', '27/12/18', '07:23:36')
('OA', '27/12/18', '07:23:36')
('OA', '27/12/18', '07:23:36')
('OA', '27/12/18', '07:23:38')
('OA', '27/12/18', '07:23:38')
('OA', '27/12/18', '07:23:38')
('OA', '27/12/18', '07:23:38')
('OA', '27/12/18', '07:23:39')
('OA', '27/12/18', '07:23:39')
('OA', '27/12/18', '07:23:40')
('OA', '27/12/18', '07:23:40')
('OA', '27/12/18', '07:23:40')
('OA', '27/12/18', '07:23:40')
('OA', '27/12/18', '07:23:43')
('OA', '27/12/18', '07:23:43')
('OA', '27/12/18', '07:23:45')
('OA', '27/12/18', '07:23:45')
('OA', '27/12/18', '07:23:45')
('OA', '27/12/18', '07:23:45')
('OA', '27/12/18', '07:23:46')
('OA', '27/12/18', '07:23:46')
('OA', '27/12/18', '07:23:47')
('OA', '27/12/18', '07:23:47')
('OA', '27/12/18', '07:23:48')
('OA', '27/12/18', '07:23:48')
('OA', '27/12/18', '07:23:49')
('OA', '27/12/18', '07:23:49')
('OA', '27/12/18', '07:23:49')
('OA', '27/12/18', '07:23:49')
('OA', '27/12/18', '07:23:50')
('OA', '27/12/18', '07:23:50')
('OA', '27/12/18', '07:23:50')
('OA', '27/12/18', '07:23:50')
('OA', '27/12/18', '07:23:51')
('OA', '27/12/18', '07:23:51')
('OA', '27/12/18', '07:23:52')
('OA', '27/12/18', '07:23:52')
('OA', '27/12/18', '07:23:52')
('OA', '27/12/18', '07:23:52')
('OA', '27/12/18', '07:23:53')
('OA', '27/12/18', '07:23:53')
('OA', '27/12/18', '07:23:53')
('OA', '27/12/18', '07:23:53')
('OA', '27/12/18', '07:23:55')
('OA', '27/12/18', '07:23:55')
('OA', '27/12/18', '07:23:55')
('OA', '27/12/18', '07:23:55')
('OA', '27/12/18', '07:23:56')
('OA', '27/12/18', '07:23:56')
('OA', '27/12/18', '07:23:57')
('OA', '27/12/18', '07:23:57')
('OA', '27/12/18', '07:23:57')
('OA', '27/12/18', '07:23:57')
('OA', '27/12/18', '07:23:59')
('OA', '27/12/18', '07:23:59')
('OA', '27/12/18', '07:23:59')
('OA', '27/12/18', '07:23:59')
('OA', '27/12/18', '07:24:00')
('OA', '27/12/18', '07:24:00')
('OA', '27/12/18', '07:24:01')
('OA', '27/12/18', '07:24:01')
('OA', '27/12/18', '07:24:01')
('OA', '27/12/18', '07:24:01')
('OA', '27/12/18', '07:24:02')
('OA', '27/12/18', '07:24:02')
('OA', '27/12/18', '07:24:03')
('OA', '27/12/18', '07:24:03')
('OA', '27/12/18', '07:24:03')
('OA', '27/12/18', '07:24:03')
('OA', '27/12/18', '07:24:04')
('OA', '27/12/18', '07:24:04')
('NR', '27/12/18', '07:24:04')
('NR', '27/12/18', '07:24:04')
('NR', '27/12/18', '07:24:05')
('NR', '27/12/18', '07:24:05')
('NR', '27/12/18', '07:24:05')
('NR', '27/12/18', '07:24:06')
('NR', '27/12/18', '07:24:06')
('NR', '27/12/18', '07:24:06')
('NR', '27/12/18', '07:24:07')
('NR', '27/12/18', '07:24:07')
('NR', '27/12/18', '07:24:07')
('NR', '27/12/18', '07:24:07')
('NR', '27/12/18', '07:24:08')
('NR', '27/12/18', '07:24:08')
('NR', '27/12/18', '07:24:08')
('NR', '27/12/18', '07:24:09')
('NR', '27/12/18', '07:24:09')
('NR', '27/12/18', '07:24:09')
('OA', '27/12/18', '07:24:10')
('OA', '27/12/18', '07:24:10')
('OA', '27/12/18', '07:24:11')
('OA', '27/12/18', '07:24:11')
('OA', '27/12/18', '07:24:12')
('OA', '27/12/18', '07:24:12')
('NR', '27/12/18', '07:24:12')
('OA', '27/12/18', '07:24:12')
('OA', '27/12/18', '07:24:12')
('NR', '27/12/18', '07:24:13')
('OA', '27/12/18', '07:24:13')
('OA', '27/12/18', '07:24:13')
('OA', '27/12/18', '07:24:15')
('OA', '27/12/18', '07:24:15')
('OA', '27/12/18', '07:24:15')
('OA', '27/12/18', '07:24:15')
('OA', '27/12/18', '07:24:16')
('OA', '27/12/18', '07:24:16')
('OA', '27/12/18', '07:24:20')
('OA', '27/12/18', '07:24:20')
('OA', '27/12/18', '07:24:22')
('OA', '27/12/18', '07:24:22')
('OA', '27/12/18', '07:24:23')
('OA', '27/12/18', '07:24:23')
('OA', '27/12/18', '07:24:24')
('OA', '27/12/18', '07:24:24')
('OA', '27/12/18', '07:24:25')
('OA', '27/12/18', '07:24:25')
('OA', '27/12/18', '07:24:30')
('OA', '27/12/18', '07:24:30')
('OA', '27/12/18', '07:24:31')
('OA', '27/12/18', '07:24:31')
('OA', '27/12/18', '07:24:32')
('OA', '27/12/18', '07:24:32')
('NR', '27/12/18', '07:24:32')
('NR', '27/12/18', '07:24:32')
('NR', '27/12/18', '07:24:32')
('NR', '27/12/18', '07:24:33')
('NR', '27/12/18', '07:24:33')
('NR', '27/12/18', '07:24:33')
('NR', '27/12/18', '07:24:34')
('NR', '27/12/18', '07:24:34')
('NR', '27/12/18', '07:24:34')
('NR', '27/12/18', '07:24:34')
('NR', '27/12/18', '07:24:35')
('NR', '27/12/18', '07:24:35')
('NR', '27/12/18', '07:24:35')
('NR', '27/12/18', '07:24:36')
('NR', '27/12/18', '07:24:36')
('NR', '27/12/18', '07:24:36')
('NR', '27/12/18', '07:24:37')
('NR', '27/12/18', '07:24:37')
('NR', '27/12/18', '07:24:37')
('OA', '27/12/18', '07:24:38')
('OA', '27/12/18', '07:24:38')
('OA', '27/12/18', '07:24:42')
('OA', '27/12/18', '07:24:42')
('OA', '27/12/18', '07:24:43')
('OA', '27/12/18', '07:24:43')
('OA', '27/12/18', '07:24:44')
('OA', '27/12/18', '07:24:44')
('OA', '27/12/18', '07:24:46')
('OA', '27/12/18', '07:24:46')
('OA', '27/12/18', '07:24:47')
('OA', '27/12/18', '07:24:47')
('OA', '27/12/18', '07:24:48')
('OA', '27/12/18', '07:24:48')
('OA', '27/12/18', '07:24:53')
('OA', '27/12/18', '07:24:53')
('NR', '27/12/18', '07:24:53')
('OA', '27/12/18', '07:24:55')
('OA', '27/12/18', '07:24:55')
('OA', '27/12/18', '07:24:55')
('OA', '27/12/18', '07:24:55')
('OA', '27/12/18', '07:24:56')
('OA', '27/12/18', '07:24:56')
('NR', '27/12/18', '07:24:56')
('OA', '27/12/18', '07:24:57')
('OA', '27/12/18', '07:24:57')
('NR', '27/12/18', '08:13:09')
('NR', '27/12/18', '08:13:10')
('NR', '27/12/18', '08:13:10')
('NR', '27/12/18', '08:13:10')
('NR', '27/12/18', '08:13:11')
('NR', '27/12/18', '08:13:11')
('NR', '27/12/18', '08:13:11')
('NR', '27/12/18', '08:13:12')
('NR', '27/12/18', '08:13:12')
('NR', '27/12/18', '08:13:12')
('NR', '27/12/18', '08:13:12')
('NR', '27/12/18', '08:13:13')
('NR', '27/12/18', '08:13:13')
('NR', '27/12/18', '08:13:13')
('NR', '27/12/18', '08:13:13')
('NR', '27/12/18', '08:13:14')
('NR', '27/12/18', '08:13:14')
('NR', '27/12/18', '08:13:14')
('NR', '27/12/18', '08:13:14')
('NR', '27/12/18', '08:13:14')
('NR', '27/12/18', '08:13:14')
('NR', '27/12/18', '08:13:15')
('NR', '27/12/18', '08:13:15')
('NR', '27/12/18', '08:13:15')
('NR', '27/12/18', '08:13:15')
('NR', '27/12/18', '08:13:15')
('NR', '27/12/18', '08:13:16')
('NR', '27/12/18', '08:13:16')
('NR', '27/12/18', '08:13:16')
('NR', '27/12/18', '08:13:16')
('NR', '27/12/18', '08:13:16')
('NR', '27/12/18', '08:13:16')
('NR', '27/12/18', '08:13:17')
('NR', '27/12/18', '08:13:17')
('NR', '27/12/18', '08:13:17')
('NR', '27/12/18', '08:13:17')
('NR', '27/12/18', '08:13:17')
('NR', '27/12/18', '08:13:18')
('NR', '27/12/18', '08:13:18')
('NR', '27/12/18', '08:13:18')
('NR', '27/12/18', '08:13:18')
('NR', '27/12/18', '08:13:18')
('NR', '27/12/18', '08:13:19')
('NR', '27/12/18', '08:13:19')
('NR', '27/12/18', '08:13:19')
('NR', '27/12/18', '08:13:19')
('NR', '27/12/18', '08:13:19')
('NR', '27/12/18', '08:13:19')
('NR', '27/12/18', '08:13:20')
('NR', '27/12/18', '08:13:20')
('NR', '27/12/18', '08:13:20')
('NR', '27/12/18', '08:13:20')
('NR', '27/12/18', '08:13:20')
('NR', '27/12/18', '08:13:21')
('NR', '27/12/18', '08:13:21')
('NR', '27/12/18', '08:13:21')
('NR', '27/12/18', '08:13:21')
('NR', '27/12/18', '08:13:21')
('NR', '27/12/18', '08:13:21')
('NR', '27/12/18', '08:13:22')
('NR', '27/12/18', '08:13:22')
('NR', '27/12/18', '08:13:22')
('NR', '27/12/18', '08:13:22')
('NR', '27/12/18', '08:13:22')
('NR', '27/12/18', '08:13:23')
('NR', '27/12/18', '08:13:23')
('NR', '27/12/18', '08:13:23')
('NR', '27/12/18', '08:13:23')
('NR', '27/12/18', '08:13:23')
('NR', '27/12/18', '08:13:24')
('NR', '27/12/18', '08:13:24')
('NR', '27/12/18', '08:13:24')
('NR', '27/12/18', '08:13:24')
('NR', '27/12/18', '08:13:24')
('NR', '27/12/18', '08:13:24')
('NR', '27/12/18', '08:13:25')
('NR', '27/12/18', '08:13:25')
('NR', '27/12/18', '08:13:25')
('NR', '27/12/18', '08:13:25')
('NR', '27/12/18', '08:13:25')
('NR', '27/12/18', '08:13:26')
('NR', '27/12/18', '08:13:26')
('NR', '27/12/18', '08:13:26')
('NR', '27/12/18', '08:13:26')
('NR', '27/12/18', '08:13:26')
('NR', '27/12/18', '08:13:26')
('NR', '27/12/18', '08:13:27')
('NR', '27/12/18', '08:13:27')
('NR', '27/12/18', '08:13:27')
('NR', '27/12/18', '08:13:27')
('NR', '27/12/18', '08:13:27')
('NR', '27/12/18', '08:13:28')
('NR', '27/12/18', '08:13:28')
('NR', '27/12/18', '08:13:28')
('NR', '27/12/18', '08:13:28')
('NR', '27/12/18', '08:13:28')
('NR', '27/12/18', '08:13:29')
('NR', '27/12/18', '08:13:29')
('NR', '27/12/18', '08:13:29')
('NR', '27/12/18', '08:13:29')
('NR', '27/12/18', '08:13:29')
('NR', '27/12/18', '08:13:29')
('NR', '27/12/18', '08:13:30')
('NR', '27/12/18', '08:13:30')
('NR', '27/12/18', '08:13:30')
('NR', '27/12/18', '08:13:30')
('NR', '27/12/18', '08:13:30')
('NR', '27/12/18', '08:13:31')
('NR', '27/12/18', '08:13:31')
