('NR', '28/12/18', '10:35:00')
('NR', '28/12/18', '10:35:00')
('NR', '28/12/18', '10:35:00')
('NR', '28/12/18', '10:35:00')
('NR', '28/12/18', '10:35:00')
('NR', '28/12/18', '10:35:01')
('NR', '28/12/18', '10:35:01')
('NR', '28/12/18', '10:35:02')
('NR', '28/12/18', '10:35:02')
('NR', '28/12/18', '10:35:02')
('NR', '28/12/18', '10:35:02')
('NR', '28/12/18', '10:35:02')
('NR', '28/12/18', '10:35:02')
('NR', '28/12/18', '10:35:02')
('NR', '28/12/18', '10:35:03')
('NR', '28/12/18', '10:35:03')
('NR', '28/12/18', '10:35:03')
('NR', '28/12/18', '10:35:03')
('NR', '28/12/18', '10:35:03')
('NR', '28/12/18', '10:35:03')
('NR', '28/12/18', '10:35:03')
('NR', '28/12/18', '10:35:03')
('NR', '28/12/18', '10:35:03')
('NR', '28/12/18', '10:35:04')
('NR', '28/12/18', '10:35:04')
('NR', '28/12/18', '10:35:04')
('NR', '28/12/18', '10:35:04')
('NR', '28/12/18', '10:35:04')
('NR', '28/12/18', '10:35:04')
('NR', '28/12/18', '10:35:04')
('NR', '28/12/18', '10:35:04')
('NR', '28/12/18', '10:35:05')
('NR', '28/12/18', '10:35:05')
('NR', '28/12/18', '10:35:05')
('NR', '28/12/18', '10:35:05')
('NR', '28/12/18', '10:35:05')
('NR', '28/12/18', '10:35:05')
('NR', '28/12/18', '10:35:05')
('NR', '28/12/18', '10:35:05')
('NR', '28/12/18', '10:35:05')
('NR', '28/12/18', '10:35:06')
('NR', '28/12/18', '10:35:06')
('NR', '28/12/18', '10:35:06')
('NR', '28/12/18', '10:35:06')
('NR', '28/12/18', '10:35:06')
('NR', '28/12/18', '10:35:06')
('NR', '28/12/18', '10:35:06')
('NR', '28/12/18', '10:35:06')
('NR', '28/12/18', '10:35:06')
('NR', '28/12/18', '10:35:07')
('NR', '28/12/18', '10:35:07')
('NR', '28/12/18', '10:35:07')
('NR', '28/12/18', '10:35:07')
('NR', '28/12/18', '10:35:07')
('NR', '28/12/18', '10:35:07')
('NR', '28/12/18', '10:35:07')
('NR', '28/12/18', '10:35:07')
('NR', '28/12/18', '10:35:08')
('NR', '28/12/18', '10:35:08')
('NR', '28/12/18', '10:35:08')
('NR', '28/12/18', '10:35:08')
('NR', '28/12/18', '10:35:08')
('NR', '28/12/18', '10:35:08')
('NR', '28/12/18', '10:35:08')
('NR', '28/12/18', '10:35:08')
('NR', '28/12/18', '10:35:08')
('NR', '28/12/18', '10:35:09')
('NR', '28/12/18', '10:35:09')
('NR', '28/12/18', '10:35:09')
('NR', '28/12/18', '10:35:09')
('NR', '28/12/18', '10:35:09')
('NR', '28/12/18', '10:35:09')
('NR', '28/12/18', '10:35:09')
('NR', '28/12/18', '10:35:09')
('NR', '28/12/18', '10:35:09')
('NR', '28/12/18', '10:35:10')
('NR', '28/12/18', '10:35:10')
('NR', '28/12/18', '10:35:10')
('NR', '28/12/18', '10:35:10')
('NR', '28/12/18', '10:35:10')
('NR', '28/12/18', '10:35:10')
('NR', '28/12/18', '10:35:10')
('NR', '28/12/18', '10:35:10')
('NR', '28/12/18', '10:35:11')
('NR', '28/12/18', '10:35:11')
('NR', '28/12/18', '10:35:11')
('NR', '28/12/18', '10:35:11')
('NR', '28/12/18', '10:35:11')
('NR', '28/12/18', '10:35:12')
('NR', '28/12/18', '10:35:12')
('NR', '28/12/18', '10:35:13')
('NR', '28/12/18', '10:35:13')
('NR', '28/12/18', '10:35:13')
('NR', '28/12/18', '10:35:14')
('NR', '28/12/18', '10:35:14')
('NR', '28/12/18', '10:35:14')
('NR', '28/12/18', '10:35:14')
('NR', '28/12/18', '10:35:14')
('NR', '28/12/18', '10:35:14')
('NR', '28/12/18', '10:35:15')
('NR', '28/12/18', '10:35:15')
('NR', '28/12/18', '10:35:15')
('NR', '28/12/18', '10:35:15')
('NR', '28/12/18', '10:35:15')
('NR', '28/12/18', '10:35:15')
('NR', '28/12/18', '10:35:15')
('NR', '28/12/18', '10:35:15')
('NR', '28/12/18', '10:35:15')
('NR', '28/12/18', '10:35:16')
('NR', '28/12/18', '10:35:16')
('NR', '28/12/18', '10:35:16')
('NR', '28/12/18', '10:35:16')
('NR', '28/12/18', '10:35:16')
('NR', '28/12/18', '10:35:16')
('NR', '28/12/18', '10:35:16')
('NR', '28/12/18', '10:35:16')
('NR', '28/12/18', '10:35:17')
('NR', '28/12/18', '10:35:17')
('NR', '28/12/18', '10:35:17')
('NR', '28/12/18', '10:35:17')
('NR', '28/12/18', '10:35:17')
('NR', '28/12/18', '10:35:17')
('NR', '28/12/18', '10:35:17')
('NR', '28/12/18', '10:35:17')
('NR', '28/12/18', '10:35:17')
('NR', '28/12/18', '10:35:18')
('NR', '28/12/18', '10:35:18')
('NR', '28/12/18', '10:35:18')
('NR', '28/12/18', '10:35:18')
('NR', '28/12/18', '10:35:18')
('NR', '28/12/18', '10:35:18')
('NR', '28/12/18', '10:35:18')
('NR', '28/12/18', '10:35:18')
('NR', '28/12/18', '10:35:19')
('NR', '28/12/18', '10:35:19')
('NR', '28/12/18', '10:35:19')
('NR', '28/12/18', '10:35:19')
('NR', '28/12/18', '10:35:19')
('NR', '28/12/18', '10:35:19')
('NR', '28/12/18', '10:35:19')
